Name,IAU,ref,cdda16,Z,G_NO,ZERO-TO-ZERO,AVE_PEAK,MAX_PEAK,MIN_PEAK,AVE_V,AVE_V_over_Z2Z,AVE_FWHM,MAX_FWHM,MIN_FWHM,TYPE
B0834-20,0834-20,sma+10,N,0.591,3,78,0.090,0.107,0.080,-4.7,-0.060,17.3,31.4,4.08,int
SBS0846+513,J0849+5108,gsn+13,Y,0.312,3,43,0.042,0.06,0.03,-4.63,-0.108,8.53,12.1,5.0,int
SDSSJ085042.24+515911.6,J0850+5159,gsp+09a,Y,1.327,3,150,0.274,0.441,0.126,-0.8,-0.005,28.1,47.0,12.6,int
SDSSJ085244.74+343540.4,J0852+3435,gsp+09a,Y,1.31,2,193,0.087,0.088,0.085,-7.7,-0.04,42.3,62.2,22.4,int
J0919+0146,J0919+0146,dsg+17,N,1.273,2,260,0.006,0.006,0.005,-1.82,-0.007,106,175,6.4,int
J0921+6215,J0921+6215,dsg+17,N,1.104,1,21.5,0.040,0.040,0.040,-0.37,-0.017,8.4,8.4,8.4,int
B30927+469,J0930+4644,zlp+1,Y,0.622,1,22,0.032,0.032,0.032,0.0,0.0,8.9,8.9,8.9,int
[HB89]0952+179,0952+179,kc01,Y,0.238,1,19,0.013,0.013,0.013,0.0,0.0,7.7,7.7,7.7,int
[HB89]1055+499,J1058+4939,gsp+09a,Y,1.212,2,69,0.012,0.019,0.005,-4.05,-0.059,20.5,25.1,15.9,int
[HB89]1127-145,1127-145,ck00,Y,0.313,7,123,0.052,0.127,0.003,0.857,0.007,10.4,14.6,5.9,int
[HB89]1157+014,1157+014,kps+14,Y,1.944,2,33,0.056,0.07,0.043,1.75,0.053,7.65,8.4,6.9,int
LBQS1229-0207,1229-021,bs79,Y,0.394,3,49,0.175,0.222,0.126,0.2,0.004,5.87,6.9,4.4,int
J1255+1817,J1255+1817,dsg+17,N,0.758,2,59,0.053,0.054,0.052,1.74,0.029,17.2,25.7,8.77,int
[HB89]1243-072,1243-072,lb01,Y,0.437,1,39,0.068,0.068,0.068,0.0,0.0,12.9,12.9,12.9,int
SDSSJ125227.06+442737.9,J1252+4427,gsp+12,Y,0.911,3,229,0.018,0.028,0.01,1.9,0.008,41.1,61.0,27.3,int
B31325+436,J1327+4326,dsg+17,N,0.954,2,39,0.010,0.014,0.006,-5.90,-0.13,11.9,14.7,9.2,int
3C286,1328+307,dm78,Y,0.692,1,8,0.094,0.094,0.094,0.0,0.0,8.8,8.8,8.8,int
J133724.69+315254.5,1337+3152,sgp+12,Y,3.174,1,17,0.611,0.611,0.611,0.0,0.0,5.0,5.0,5.0,int
J1342+5110,J1342+5110,dsg+17,N,1.488,2,78,0.049,0.061,0.036,-6.94,-0.089,32.5,44.5,20.5,int
[HB89]1406-076,J1408-0755,gsp+12,Y,1.275,3,71,0.016,0.03,0.006,-0.633,-0.009,10.8,11.4,9.7,int
J1428+2103,J1428+2103,dsgj17,N,0.394,2,27,0.171,0.220,0.122,0.12,0.004,6.69,9.67,3.71,int
[HB89]1430-178,1430-178,kpec09,Y,1.326,2,119,0.002,0.002,0.001,-6.45,-0.054,36.5,56.7,16.3,int
FBQSJ143120.5+395241,J1431+3952,ekp+12,Y,0.602,2,39,0.226,0.227,0.224,1.0,0.026,7.25,8.3,6.2,int
SDSSJ144304.53+021419.3,J1443+0214,gsn+13,Y,0.372,2,42,0.256,0.402,0.109,-0.25,-0.006,10.1,13.7,6.4,int
J1551+0713,J1551+0713,dsgj17,N,0.329,1,12,0.097,0.097,0.097,-0.48,-0.04,3.97,3.97,3.97,int
B1610-77,1610-77,sma+20,N,0.45,3,87,0.027,0.037,0.022,2.82,0.032,18.5,30.0,5.9,int
3C336,1622+238,ctp+07,Y,0.656,1,500,0.009,0.009,0.009,0.0,0.0,233.0,233.0,233.0,int
SDSSJ162346.23+071854.9,1621+047,gsp+09,Y,1.336,2,65,0.032,0.041,0.023,4.45,0.068,14.5,17.3,11.6,int
[HB89]1629+120,1629+120,kc02,Y,0.532,2,44,0.021,0.026,0.016,1.2,0.027,13.3,20.7,5.9,int
2MASSiJ1756036+574848,1755+758,kan14,Y,1.971,1,137,0.023,0.023,0.023,0.0,0.0,49.3,49.3,49.3,int
PKS1830-21,1830-211,cdn99,Y,0.885,2,574,0.034,0.037,0.031,-18.2,-0.032,132.0,196.5,66.7,int
